,genre,image_name
0,['Animation'],qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg
1,['Drama'],vJU3rXSP9hwUuLeq8IpfsJShLOk.jpg
2,['Science Fiction'],t6HIqrRAclMCA60NsSmeqe9RmNV.jpg
3,['Animation'],qVdrYN8qu7xUtsdEFeGiIVIaYd.jpg
4,['Comedy'],swzMoIVn6xjB857ziYJ8KBV440g.jpg
5,['Action'],vZloFAK7NmvMGKE7VkF5UHaz0I.jpg
6,['Animation'],kuf6dutpsT0vSVehic3EZIqkOBt.jpg
7,['Action'],gbGHezV6yrhua0KfAgwrknSOiIY.jpg
8,['Thriller'],gOnmaxHo0412UVr1QM5Nekv1xPi.jpg
9,['Action'],ay8SLFTMKzQ0i5ewOaGHz2bVuZL.jpg
10,['Action'],A3ZbZsmsvNGdprRi2lKgGEeVLEH.jpg
11,['Horror'],9JBEPLTPSm0d1mbEcLxULjJq9Eh.jpg
12,['Horror'],fNTtVbqI92abEKAgz2ynurCUne.jpg
13,['Horror'],d07xtqwq1uriQ1hda6qeu8Skt5m.jpg
14,['Action'],hR1jdCw0A9czgsbp45TASkjjBhA.jpg
15,['Drama'],2C9vyK6leWDb2ds65R7uIwSmh8V.jpg
16,['Action'],sv1xJUazXeYqALzczSZ3O6nkH75.jpg
17,['Drama'],x3PIk93PTbxT88ohfeb26L1VpZw.jpg
18,['Horror'],2lUYbD2C3XSuwqMUbDVDQuz9mqz.jpg
19,['Thriller'],dm06L9pxDOL9jNSK4Cb6y139rrG.jpg
20,['War'],6E4LopmCMUXcMLIv7o3jw1xQrgJ.jpg
21,['Horror'],yQTRmPzKAdLodknnPVtImm6FWPZ.jpg
22,['Science Fiction'],ngl2FKBlU4fhbdsrtdom9LVLBXw.jpg
23,['Action'],pFlaoHTZeyNkG83vxsAJiGzfSsa.jpg
24,['Animation'],cAoAgzOCxSytYBqqCQulhXNR3LB.jpg
25,['Action'],v5CfpzxoJDkZxjZAizClFdlEF0U.jpg
26,['Documentary'],g7fD1EHgctNSjBUzAOfxEsHaB2k.jpg
27,['Action'],qi9r5xBgcc9KTxlOLjssEbDgO0J.jpg
28,['Drama'],8LpnMIqpRiwxpbGR33ALCmVl7gj.jpg
29,['Science Fiction'],d9nBoowhjiiYc4FBNtQkPY7c11H.jpg
30,['Thriller'],aCy61aU7BMG7SfhkaAaasS0KzUO.jpg
31,['Animation'],hrATQE8ScQceohwInaMluluNEaf.jpg
32,['Horror'],5KmscR49WkmuPJKjmK4OUmsRn5C.jpg
33,['Action'],1EnBjTJ5utgT1OXYBZ8YwByRCzP.jpg
34,['Animation'],h8Rb9gBr48ODIwYUttZNYeMWeUU.jpg
35,['Horror'],nBgxSimgLMGYCQckRQw7C2f7row.jpg
