,id,title,original_language,overview,release_date,adult,genres_single,poster_path,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
0,502356,The Super Mario Bros. Movie,en,"While working underground to fix a water main, Brooklyn plumbers—and brothers—Mario and Luigi are transported down a mysterious pipe and wander into a magical new world. But when the brothers are separated, Mario embarks on an epic quest to find Luigi.",2023-04-05,False,['Animation'],qNBAXBIQlnOThrVvA6mA2B5ggV6.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,677179,Creed III,en,"After dominating the boxing world, Adonis Creed has been thriving in both his career and family life. When a childhood friend and former boxing prodigy, Damien Anderson, resurfaces after serving a long sentence in prison, he is eager to prove that he deserves his shot in the ring. The face-off between former friends is more than just a fight. To settle the score, Adonis must put his future on the line to battle Damien — a fighter who has nothing to lose.",2023-03-01,False,['Drama'],vJU3rXSP9hwUuLeq8IpfsJShLOk.jpg,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2,76600,Avatar: The Way of Water,en,"Set more than a decade after the events of the first film, learn the story of the Sully family (Jake, Neytiri, and their kids), the trouble that follows them, the lengths they go to keep each other safe, the battles they fight to stay alive, and the tragedies they endure.",2022-12-14,False,['Science Fiction'],t6HIqrRAclMCA60NsSmeqe9RmNV.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
3,816904,Mummies,es,"Through a series of unfortunate events, three mummies end up in present-day London and embark on a wacky and hilarious journey in search of an old ring belonging to the Royal Family, stolen by ambitious archaeologist Lord Carnaby.",2023-01-05,False,['Animation'],qVdrYN8qu7xUtsdEFeGiIVIaYd.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,638974,Murder Mystery 2,en,"After starting their own detective agency, Nick and Audrey Spitz land a career-making case when their billionaire pal is kidnapped from his wedding.",2023-03-28,False,['Comedy'],swzMoIVn6xjB857ziYJ8KBV440g.jpg,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,603692,John Wick: Chapter 4,en,"With the price on his head ever increasing, John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that turn old friends into foes.",2023-03-22,False,['Action'],vZloFAK7NmvMGKE7VkF5UHaz0I.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,315162,Puss in Boots: The Last Wish,en,"Puss in Boots discovers that his passion for adventure has taken its toll: He has burned through eight of his nine lives, leaving him with only one life left. Puss sets out on an epic journey to find the mythical Last Wish and restore his nine lives.",2022-12-07,False,['Animation'],kuf6dutpsT0vSVehic3EZIqkOBt.jpg,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,842945,Supercell,en,"Good-hearted teenager William always lived in hope of following in his late father’s footsteps and becoming a storm chaser. His father’s legacy has now been turned into a storm-chasing tourist business, managed by the greedy and reckless Zane Rogers, who is now using William as the main attraction to lead a group of unsuspecting adventurers deep into the eye of the most dangerous supercell ever seen.",2023-03-17,False,['Action'],gbGHezV6yrhua0KfAgwrknSOiIY.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,804150,Cocaine Bear,en,"Inspired by a true story, an oddball group of cops, criminals, tourists and teens converge in a Georgia forest where a 500-pound black bear goes on a murderous rampage after unintentionally ingesting cocaine.",2023-02-22,False,['Thriller'],gOnmaxHo0412UVr1QM5Nekv1xPi.jpg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1033219,Attack on Titan,en,"As viable water is depleted on Earth, a mission is sent to Saturn's moon Titan to retrieve sustainable H2O reserves from its alien inhabitants. But just as the humans acquire the precious resource, they are attacked by Titan rebels, who don't trust that the Earthlings will leave in peace.",2022-09-30,False,['Action'],ay8SLFTMKzQ0i5ewOaGHz2bVuZL.jpg,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
